County,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
Alameda,1513005,1599888,1682348,1763028,1835340,1905482,1978656,2052285,2115824,2165023,2195999
Alpine,1233,1252,1296,1329,1328,1296,1249,1202,1149,1099,1058
Amador,38487,37178,39108,40830,41840,42748,43165,43084,42593,42448,42906
Butte,220273,226656,236936,247378,254725,264150,267852,272094,276117,280820,286660
Calaveras,45654,45923,48957,51415,53317,54912,55881,56205,56501,56980,58023
Colusa,21642,22555,24291,25821,27258,28558,29688,30578,31327,31983,32581
Contra Costa,1051553,1108963,1166670,1224372,1281561,1341741,1400999,1457246,1512940,1567661,1620604
Del Norte,28822,28587,29146,29735,30197,30418,30408,30320,30340,30422,30747
El Dorado,181567,184833,190850,196950,201509,205624,208092,208302,206977,205525,205052
Fresno,932969,981681,1055106,1130406,1200666,1269714,1332913,1396837,1464413,1528444,1587852
Glenn,28292,29132,30466,31761,32945,34013,34959,35830,36729,37634,38648
Humboldt,136056,137159,139033,140713,140608,139780,138307,136663,135608,134959,134398
Imperial,175520,187689,211973,233610,252300,270331,286336,300907,314346,326184,336492
Inyo,18823,19304,19622,20004,20211,20235,20153,20017,19888,19795,19737
Kern,846568,894492,989815,1088711,1189004,1291947,1396314,1501874,1604371,1703013,1793248
Kings,154276,155122,167465,180355,192562,205206,218394,230218,240599,250517,259506
Lake,64854,66219,70690,75426,79577,83532,86635,88950,90549,91951,93421
Lassen,35030,35190,36386,37490,38224,38719,39073,39495,39891,40429,40941
Los Angeles,9824194,10147070,10435991,10701051,10930986,11123113,11290501,11414349,11494738,11524123,11489127
Madera,151466,157722,173146,189267,204993,221824,238514,255073,272384,288812,304749
Marin,252937,258804,259794,260698,262615,265840,269462,272411,274455,277604,283188
Mariposa,18332,18147,19316,20520,21027,21288,21221,20949,20636,20334,20140
Mendocino,88292,88884,90411,92203,93577,94565,95207,95796,96751,98186,99952
Merced,256800,269572,288991,313082,337798,364348,389934,414895,439075,463131,485712
Modoc,9802,9410,9691,9866,9852,9812,9770,9632,9343,9113,8875
Mono,14338,14525,15147,15750,16252,16671,16823,16828,16834,16767,16626
Monterey,416141,429584,446258,462608,476874,489171,500194,510907,520362,527846,533575
Napa,137579,142301,146869,151553,156358,160146,163269,165695,167854,170222,172619
Nevada,98938,98633,101767,105389,108111,110224,111885,113469,115350,118071,121517
Orange,3014996,3150934,3243261,3305644,3361556,3410509,3449498,3471003,3481613,3480392,3464374
Placer,350230,373503,396203,421002,447625,478196,509936,539147,566954,593084,620037
Plumas,20098,19384,19284,19375,19256,18929,18419,17872,17485,17190,17037
Riverside,2194933,2323527,2478059,2662235,2862915,3053812,3215291,3353445,3480980,3587525,3678439
Sacramento,1421236,1475381,1554022,1639613,1730276,1823985,1912838,1989722,2047662,2100788,2153833
San Benito,55547,59039,63418,68312,73459,78434,82969,86859,90802,94895,99215
San Bernardino,2039040,2116461,2227066,2366662,2515972,2658556,2783746,2892353,2997446,3096772,3190566
San Diego,3112965,3244706,3375687,3482977,3589951,3689585,3779961,3868760,3953511,4025909,4070841
San Francisco,808850,848564,891493,932109,967405,996332,1027004,1057562,1081540,1097119,1103174
San Joaquin,687095,723506,766644,822755,893354,966889,1037761,1104903,1171439,1239301,1306271
San Luis Obispo,269446,274254,283667,293430,299378,309465,309689,311929,313544,315702,318668
San Mateo,719446,752751,777088,800928,822889,847641,874626,902205,925295,935411,936151
Santa Barbara,424688,439082,455858,473124,487156,507912,514466,523502,531583,538614,545115
Santa Clara,1785089,1890424,1970828,2059786,2151165,2243474,2331887,2411116,2482347,2539090,2585318
Santa Cruz,263709,273695,281870,290674,295538,303626,303512,305289,307606,311054,314875
Shasta,177538,180021,187524,195628,202156,207865,212264,216340,220252,224393,228897
Sierra,3319,3257,3174,3091,3008,2918,2830,2757,2697,2675,2677
Siskiyou,45019,45400,46217,46784,47013,46976,46445,45615,44920,44424,44148
Solano,413723,432921,454800,477539,501456,526460,548046,567615,586931,604958,620659
Sonoma,484852,501350,523615,546050,566670,585373,602320,617786,632241,646701,660937
Stanislaus,515459,538689,573794,611376,648076,681703,714910,748324,783005,819598,856717
Sutter,95085,97887,105107,112384,120071,128530,137228,145113,153462,161994,170377
Tehama,63710,65193,67336,69326,71118,72504,73196,73553,73975,74599,75460
Trinity,13943,13821,14234,14510,14570,14484,14267,13925,13593,13303,13102
Tulare,443487,467170,498559,537015,578858,616547,650819,683533,715722,747912,779772
Tuolumne,55690,54628,55993,57278,58447,59560,59821,59767,59743,59966,60471
Ventura,825193,850206,876124,902722,927304,949765,966084,977890,987568,996303,1004070
Yolo,201651,209647,219415,231369,241898,259163,267268,277208,285453,292509,298451
Yuba,72498,75093,81467,88282,95445,103044,110285,116891,122049,126473,130166
