,CALIFORNIA,LOS ANGELES,ORANGE,RIVERSIDE,SAN BERNADINO,SACRAMENTO,PLACER,EL DORADO,YOLO,SAN DIEGO,ALAMEDA,CONTRA COSTA,MARIN,SAN FRANCISCO,SAN MATEO,SANTA CLARA,SAN BENITO
(Constant),7.185,8.501,8.501,8.667,8.667,8.809,8.809,8.809,8.809,8.662,7.555,7.555,7.555,7.555,7.555,6.735,6.735
LNVEH,0.954,0.933,0.933,0.797,0.797,1.453,1.453,1.453,1.453,1.007,0.682,0.682,0.682,0.682,0.682,0.895,0.895
LNHHSIZE,0.238,0.184,0.184,0,0,0.186,0.186,0.186,0.186,0.218,0.596,0.596,0.596,0.596,0.596,0.281,0.281
LNHHINC,0.164,0,0,0,0,0,0,0,0,0,0.089,0.089,0.089,0.089,0.089,0.174,0.174
WRKCOUNT,0.133,0.142,0.142,0.139,0.139,0.126,0.126,0.126,0.126,0.124,0.145,0.145,0.145,0.145,0.145,0.102,0.102
TIMETOWK,0.003,0.004,0.004,0.005,0.005,0,0,0,0,0.005,0.004,0.004,0.004,0.004,0.004,0.007,0.007
DRIVE,0,0.267,0.267,0.373,0.373,0,0,0,0,0.137,0.29,0.29,0.29,0.29,0.29,0,0
HHVEHCNT,-0.113,-0.08,-0.08,0,0,-0.242,-0.242,-0.242,-0.242,-0.114,0,0,0,0,0,0,0
HBPPOPDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00001411,-0.00001411
HHSIZE,0,0,0,0,0,0,0,0,0,0,-0.153,-0.153,-0.153,-0.153,-0.153,0,0
HHINC,0,0.000002107,0.000002107,0.000002164,0.000002164,0.000001993,0.000001993,0.000001993,0.000001993,0.000002531,0,0,0,0,0,0,0
WHITE,0,0,0,-0.123,-0.123,0,0,0,0,0,0,0,0,0,0,0,0
HOMEOWN,0,0,0,0,0,0,0,0,0,-0.057,0.112,0.112,0.112,0.112,0.112,0,0
HISP,0,0,0,0,0,0,0,0,0,0,0.134,0.134,0.134,0.134,0.134,0,0
 Estimated average ,22781,19190.8642,19190.8642,21571.38797,21571.38797,16913.20457,16913.20457,16913.20457,16913.20457,19760.44079,17271.79647,17271.79647,17271.79647,17271.79647,17271.79647,20336.39591,20336.39591
 NHTS average ,22962.00183,21717.60259,21717.60259,24634.52783,24634.52783,21278.83489,21278.83489,21278.83489,21278.83489,22570.35817,20294.74262,20294.74262,20294.74262,20294.74262,20294.74262,21789.83473,21789.83473
,,,,,,,,,,,,,,,,,
