Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
ACAMPO,182570.50987306578,239387.51288184262,306721.005473709,394290.03193869034,504479.61821883114,619238.7170654708,729842.0892173253,834627.0960570201,938466.753918061
ACTON,97653.63025146128,170899.7302774067,236443.26730265067,296573.68153475074,348736.3309078811,392321.51797693945,430294.52548299416,458390.3055861658,476627.16149251175
ADELANTO,534647.6514924109,639873.3721771523,790202.0345490074,979932.8234197804,1182868.7035053382,1376660.8500181609,1546812.1234034523,1694425.1416410604,1837262.2358004064
ADIN,118750.43015764432,123339.3303494006,157645.6393165687,189314.8358500578,210381.67884303743,224581.48903382497,234737.35496968334,246844.78444692498,258206.62032322912
AGOURA HILLS,631394.9191885334,666069.892427434,697099.2583758603,725565.4221518314,750260.518467253,770893.9528970579,788870.567395173,802171.3722848534,810804.9286919932
AGUANGA,414700.3235939826,540234.1358597081,691089.6810217052,870883.3954960505,1066790.290722992,1253145.3378061412,1410782.3817479417,1545649.7342078763,1670150.829459879
AHWAHNEE,300798.8597282354,298394.3599724884,313608.5498091803,329267.4048412418,335878.481157366,339273.61408916814,338405.62613456836,334874.1948005468,330809.587217219
ALAMEDA,1363234.5150359517,1402472.6800870067,1439740.447806348,1476206.145777841,1508954.8635724857,1540646.4643065832,1573707.270310391,1606973.7285983106,1635683.19861022
ALAMO,919472.5782354476,1000331.7507901422,1081621.9608305327,1162907.1581709804,1243502.8280839515,1328274.134020229,1411747.0723564206,1490979.3459166975,1569433.2986644777
ALBANY,502899.0694161816,517490.40318550164,531347.6261914033,544906.5011551196,557079.7450569108,568864.0490506176,581157.5417243021,593527.5848242596,604203.0423390361
ALBION,90718.92738369021,93205.26661485228,99621.42092717104,107150.87390607296,112930.08452522565,117080.81384046968,119778.43788232122,122253.93963749478,126266.90687470429
ALDERPOINT,74324.01952178823,76706.87522003535,80757.65731521707,84389.43850875866,84168.53309177191,82380.00406042839,79197.98760625182,75646.73089889133,73368.0301085833
ALHAMBRA,1184737.7015110224,1193881.8058187745,1202066.7120033212,1209574.0556490843,1216089.3709828788,1221530.7369060772,1226271.4915868603,1229779.4783149029,1232056.673298678
ALISO VIEJO,849801.3480305579,876506.0269001875,894644.8768297847,906900.2490736253,917886.0583760226,927502.8809475071,935162.305989336,939387.2271490948,941471.8490719907
ALPAUGH,149249.11114077864,160851.91478903842,330156.6673806345,506961.04746616905,674414.149757131,847844.8063584624,1028737.444265971,1190924.8349000951,1333319.9213877972
ALPINE,650886.6648231177,1134929.1792720982,1616296.1005786154,2010549.7623912464,2403694.152882222,2769838.501592681,3101969.5969222896,3428307.6703588953,3739775.221599579
ALTA,59181.89566456411,104622.89219014545,148949.65572420892,197372.34151307674,249367.2969862625,309062.67909653415,371040.9133185769,428082.2889903264,482382.6997214031
ALTADENA,1002048.814558595,1119700.7788800213,1224981.841763434,1321567.0467517483,1405355.5890123849,1475364.6846904883,1536359.1918029436,1581488.529961231,1610781.909689054
ALTURAS,60653.82018286444,59599.29754873714,60357.154560116316,60829.81148052473,60796.97962385326,60689.73831245893,60577.23747866044,60206.68627616788,59429.82656827028
AMADOR CITY,114684.77773078137,107641.2033811489,118029.10055120237,127298.08194089621,132740.7946938316,137627.7776056473,139872.70302172907,139438.07911694175,136796.97581306892
AMERICAN CANYON,371160.6866852267,377503.1019352563,383643.8616656837,389940.67513525137,396411.6832782482,401501.9671022433,405698.89309493813,408959.5385540374,411861.55926041835
ANAHEIM,5883938.246788609,6075466.282957783,6205559.432249371,6293455.889446316,6372246.83159917,6441219.421201877,6496153.403286187,6526454.844246403,6541405.893085681
ANDERSON,629701.7689514636,638912.1759538603,666762.6022393721,696843.0846209782,721109.4065286879,742292.7640935116,758617.7819285609,773747.5201452565,788269.0132373048
ANGELS CAMP,421565.00900985196,423940.2974289564,450741.9940351874,472458.1168112883,489283.8792452164,503371.77934530156,511932.35554035165,514798.59440057067,517417.54212661163
ANGELUS OAKS,34016.444576242924,54507.044589536585,83780.417578451,120726.65518639766,160244.1851453232,197981.31394640828,231114.85562123338,259859.5080413653,287674.1446422073
ANGWIN,92107.86301459538,101360.42275619274,110312.9936820617,119493.16893449414,128915.1269220019,136338.94458515447,142459.63441949527,147214.4935225627,151446.17476967518
ANTELOPE,733521.1267017168,741792.4898026828,753829.7823326308,766907.8841030074,780794.3728625039,795111.1285248636,808686.2909991794,820435.5912323066,829291.0684424272
ANTIOCH,1683849.3199902556,1789203.0869867066,1895132.4408176676,2001056.1842627614,2106113.698828073,2216572.239383216,2325338.9667205014,2428580.388107727,2530807.9314454906
APPLE VALLEY,1440278.7912579502,1504905.9239533055,1597236.042653014,1713764.6380518612,1838405.5173920663,1957428.1460654011,2061931.1278411476,2152591.8884496028,2240319.3945600623
APPLEGATE,100275.82080676657,104091.96361813073,107817.19260865184,111884.0032215828,116254.38085734696,121267.60433057159,126472.5679083837,131263.20439268832,135823.68046605017
APTOS,813628.6805888239,854511.2235550485,888001.0576103679,924066.637902042,944036.8660961163,977156.781122879,976696.0719743464,983980.9945983768,993476.9364451787
ARBUCKLE,173871.3081418737,181487.50101616766,195974.17215992758,208742.78798506598,220744.7111737991,231591.53738445422,241020.55968735408,248448.20147962158,254699.57326714095
ARCADIA,1677104.4885723786,1702758.588725815,1725717.5469617029,1746778.6126208417,1765051.9506368632,1780317.6213682431,1793617.6729452307,1803458.6178472172,1809846.5271225558
ARCATA,277487.1088907921,279374.1885171082,282589.7977133275,285473.2397959849,285317.1634476505,283902.26832925295,281384.3218643382,278574.9582346404,276773.327658986
ARMONA,72672.94632036783,72813.67618653011,74872.1430962248,77017.81427245686,79051.37388877817,81154.94110869721,83349.03178044627,85316.49885889108,87043.87570579138
ARNOLD,383890.75331799313,392724.3197170453,492368.83972099924,573101.5970269192,635602.5196470944,687988.8284435286,719817.4699268681,730465.3878645716,740193.8012008381
AROMAS,178866.95851889608,182915.38545403344,187996.26418978992,193674.250285441,199652.37220390572,205421.47700213737,210680.75533989363,215192.83526325092,219766.4105527904
ARROYO GRANDE,822318.9996548343,824789.1676077172,829647.550182334,834685.0525394361,837796.8560046721,842984.1588362666,843105.1118777563,844264.8724295994,845103.3874700092
ARTESIA,382870.21918652556,387506.1458206213,391655.1680467476,395461.1260491105,398763.464399031,401522.11737976683,403925.5662567536,405703.9407282233,406858.3207868898
ARVIN,541159.60530234,716710.3550958954,1065963.3793256062,1428279.3673309346,1795758.0703795857,2172895.3255209187,2555250.114562508,2941986.0970916636,3317502.179086637
ATASCADERO,741434.721360592,746469.1655789966,756345.0148318398,766586.965778837,772864.5878986041,783431.6050497701,783671.3765169568,786024.9406307511,787723.9195842496
ATHERTON,437969.4384173341,465390.798163266,485433.2829940161,505066.9917762724,523165.05890429794,543547.3311041195,565768.2211398975,588478.2833806014,607492.2912606962
ATWATER,858891.7338501309,874924.1020215307,899362.6191762178,929620.8549451362,960681.8789143967,994013.2282793435,1026134.5880895007,1057474.9764028692,1087834.6805112727
AUBERRY,285662.57375225925,594575.027278421,1060270.632000772,1537844.6265520311,1983498.7390603928,2421420.254062004,2822246.406721844,3227680.6545880325,3656278.4872612297
AUBURN,1240301.406866952,1306982.2853354667,1372063.8147521662,1443129.546426051,1519485.7864468037,1607084.6495112109,1698033.8482763073,1781742.4804439931,1861429.4147512077
AVALON,48970.034746569916,1299506.896457867,2418536.4400541876,3445148.552808561,4335726.71438599,5079861.346708278,5728178.679944687,6207861.225040898,6519221.350914478
AVENAL,132381.66723379272,132491.97152760957,134111.05724844453,135794.1919654719,137390.91891987255,139039.69501866534,140759.441129703,142301.8433609661,143656.0315482783
AZUSA,768094.0315182984,1417204.0203256453,1998054.1209863173,2530932.726355903,2993201.715377629,3379455.871564271,3715974.636473293,3964961.0916447667,4126577.292262668
BAKERSFIELD,7818293.609243893,7864130.337218392,7955870.892564693,8050604.964113054,8146830.11442173,8245302.456274979,8345138.8736855155,8446146.91577621,8544222.331560286
BALDWIN PARK,1110301.151652795,1123033.7881208023,1134429.2055014647,1144882.3396178347,1153952.354000438,1161529.0368793358,1168130.1473255083,1173014.491514886,1176185.0265988992
BALLICO,98229.45080204119,125326.50548596085,166536.71726947412,217655.00423234914,270105.69791193464,326440.71679943823,380730.36614458717,433695.3387918607,485003.34400793596
BANNING,624894.2734164485,721756.771115571,838158.5286053601,976888.4771267679,1128052.4743641736,1271845.0377681095,1393478.6526198483,1497543.1861281737,1593609.070052408
BARD,32126.665127554254,44078.36440544884,67928.89093995251,89179.62735786497,107536.29284290457,125245.44621664438,140964.77226455454,155275.74985369458,168474.9478667646
BARSTOW,536990.0120855626,554238.7497931655,578881.671429466,609982.8034282333,643249.4713294564,675016.1796744036,702907.6521385093,727104.734718459,750518.9433814132
BASS LAKE,179490.76384031045,208482.72933378155,279981.25096556975,354701.86739793624,427602.3809276143,505611.860969582,582967.9735525844,659719.3765413102,739956.551478753
BEALE AFB,20359.39970453037,48549.423403779554,117796.52781146127,191833.3195841625,269666.9998240657,352225.79278873256,430895.4166436823,502668.52224931115,558710.8233800996
BEAUMONT,890498.7265460058,919072.4487089871,953411.1043933805,994335.6570620929,1038929.2439797547,1081347.024912482,1117228.0896323156,1147926.531800873,1176265.4328563595
BELDEN,59312.64384895176,54405.505025424965,53719.75355991124,54346.66469883785,53532.523313851496,51285.15582945943,47779.97820976576,44020.589537647065,41360.921459671335
BELL,986827.3932472677,993245.975467065,998991.4907216928,1004261.2283567042,1008834.8792524671,1012654.3869707028,1015982.1117764337,1018444.541461346,1020043.0339365737
BELLFLOWER,1063093.6278191407,1071293.3371525,1078632.7848399526,1085364.7426463591,1091206.9821547638,1096086.3584137275,1100337.4811075097,1103483.1381054316,1105525.118489012
BELMONT,698590.4225786065,717852.389459724,731939.281035793,745739.3206173528,758478.6661096207,772799.6698867398,788412.1060173212,804368.1522011978,817727.891140843
BELVEDERE TIBURON,433239.67932963313,437539.61071447004,438271.84418656345,438941.1650147091,440367.3133465508,442733.6290345011,445390.79843524535,447554.63596023136,449055.1523728573
BEN LOMOND,416101.62414788274,438317.88689249486,456515.60604961356,476113.10817892593,486962.31372955185,504960.0601597384,504709.39572187216,508667.7009089833,513827.524660136
