Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
ACAMPO,0,-56817.00300877684,-124138.79072941194,-211704.99971490892,-321888.72485262266,-436647.8097208048,-547251.1304296155,-652035.497165499,-755874.5806299762
ACTON,0,-73246.10002594542,-138789.51095015055,-198919.89329145884,-251082.37070136194,-294667.5501858913,-332640.54912421736,-360736.30419794994,-378973.1347464019
ADELANTO,0,-72575.47362437379,-176258.32639366668,-307117.7746132704,-447084.09550097445,-580744.7912546777,-698100.0867333491,-799910.3694585843,-898426.6291357281
ADIN,0,-4588.900191756271,-38891.98603922731,-70558.09477013044,-91616.9580603993,-105816.13954294079,-115971.17265972975,-128077.35309378222,-139437.95716562954
AGOURA HILLS,0,-18062.391913345666,-34225.280381783145,-49053.32934182894,-61916.438207725645,-72664.45722888736,-82028.52156034438,-88956.8651800889,-93454.01511225
AGUANGA,0,-125533.81226572546,-276388.8039794858,-456182.3784874785,-652088.5189803925,-838443.5327755986,-996080.5391142648,-1130947.7817218218,-1255448.7656798826
AHWAHNEE,0,2404.499755746976,-12790.361390199221,-28441.189462598413,-35033.826132841816,-38426.99813814444,-37556.39388175926,-34020.968500850606,-29952.4216749217
ALAMEDA,0,34259.484697817126,66776.26258815662,98592.47923536785,127115.69907858991,154777.99919379875,183636.341879996,212674.48667519307,237733.83729305095
ALAMO,0,-71521.85659034015,-143415.1875536635,-215303.79383977863,-286561.0618623744,-361539.15793799784,-435369.01224288135,-505447.97174071264,-574838.4398530581
ALBANY,0,9990.44156471343,19472.696929221274,28750.66820680967,37068.41176551324,45135.070618048776,53550.5126882036,62018.38589673757,69325.99823967123
ALBION,0,5322.638609121597,19052.419224231067,35165.78394249207,47523.87963853101,56408.54452462135,62182.09956894224,67479.43043826193,76068.16133864451
ALDERPOINT,0,-2382.85569824712,-6431.516730200805,-10061.265909688867,-9835.109228218847,-8046.166457992746,-4863.601944150461,-1311.5232693088328,967.9881440548052
ALHAMBRA,0,5129.0282718804665,9718.697389817564,13929.317608716898,17582.02818324417,20634.080166587373,23293.140493544284,25260.55411175592,26537.59805083694
ALISO VIEJO,0,6781.102721855044,11386.764074975392,14498.688764088089,17287.887831818196,19729.876059412723,21674.81899566413,22747.59652290051,23276.885796222137
ALPAUGH,0,-11602.803648259782,-180897.42192251596,-357699.362576584,-525147.3901703403,-698578.0346688367,-879470.6280359039,-1041657.4644550328,-1184052.0536184208
ALPINE,0,-134284.8574682693,-267788.6372676871,-377146.4403848483,-486178.45129966596,-587730.5332534839,-679845.6025518347,-770353.0228134473,-856734.0173350303
ALTA,0,-45440.99652558134,-89765.99321907858,-138188.493641493,-190180.8678067535,-249876.22628919868,-311854.4180330127,-368895.5677956579,-423195.7333366708
ALTADENA,0,-112423.33953200723,-213024.10330658907,-305316.5522039003,-385379.42280701466,-452277.1234324265,-510560.84569026495,-553684.2801939948,-581675.5257497145
ALTURAS,0,-5449.6591866840245,-1543.1982756302532,889.8023510955682,695.219407290344,139.04484772719297,-444.9476086293289,-2363.8168052203837,-6382.392270819495
AMADOR CITY,0,7043.574349632472,-3341.6059084800654,-12607.984451086071,-18043.970755233386,-22930.423700711603,-25174.64709630178,-24738.970317071522,-22096.828670055358
AMERICAN CANYON,0,-6342.4152500295895,-12478.153688364138,-18769.874376313237,-25225.035803905397,-30313.449882292945,-34508.628740767715,-37767.57796516619,-40667.900784595
ANAHEIM,0,-126866.25184011832,-213032.1073352592,-271252.1591903027,-323433.49055434857,-369119.80345344543,-405507.0389466593,-425577.07659026235,-435479.15957887564
ANDERSON,0,-1066.9026376232505,-4290.565369166201,-7772.083772868034,-10575.22223043989,-13027.506175046903,-14916.952545659617,-16667.471685204888,-18347.473097466398
ANGELS CAMP,0,-2375.288419104414,-29166.41530192818,-50872.41210619494,-67672.00633712305,-81757.8446855857,-90315.68977908243,-93177.83259501058,-95792.7408085221
ANGELUS OAKS,0,-20490.60001329366,-49763.915424973675,-86710.13847171122,-126227.58991290894,-163964.71525092816,-197098.25301376233,-225842.89400555158,-253657.51902807975
ANGWIN,0,5833.073510514194,11476.099208649102,17262.61294940833,23199.61102768914,27879.483189229824,31737.84749618516,34735.15986509196,37402.64576728066
ANTELOPE,0,-7607.54650880571,-18657.412120668218,-30683.674047940294,-43424.41183618852,-56591.85013805947,-69076.98470572382,-79880.56878100487,-88022.34489279776
