Place,BAU 2010,BAU 2050,EVs,50MPG,LowCarbonElectricity,HeatingElectrificationNew,HeatingElectrificationExisting,EnergyEfficiencyNew,EnergyEfficiencyExisting,ZeroCarbonFuels,AirTravelEfficiency,CommercialEfficiency,WasteandWaterEfficiency,IndustrialEfficiency,AgriculturalEfficiency,VMT,AirTravel,EnergyConsumption,GoodsConsumption,FoodConsumption,WasteConsumption,WaterConsumption
ACAMPO,182570.50987306578,938466.753918061,0.11826905818437006,0.11826905818437006,0.11448049907979174,0.0796680352381044,0.0796680352381044,0.06845414238899994,0.08214497086679995,0.07096143491062212,0.008366324482529497,0.06538397481936065,0.006861921023977646,0.10265735617777338,0.08849502219269167,0.051952944864717576,0.01115509931003944,0.05476331391119993,0.04611853403776223,0.025437452481994027,0.0011098490946263029,0.004036591673357015
ACTON,97653.63025146128,476627.16149251175,0.11733683180071786,0.11733683180071786,0.12014094988827162,0.07667843808794372,0.07667843808794372,0.06837445651603968,0.08204934781924755,0.0704020990804306,0.01090339007556318,0.07490553455820115,0.0058995049830666835,0.10642315816882764,0.07422295535466772,0.05154343872122713,0.014537853434084314,0.05469956521283181,0.047988284236435974,0.021335085946120658,0.0010689851812344386,0.003355643556065546
ADELANTO,534647.6514924109,1837262.2358004064,0.10880012351969437,0.10880012351969437,0.11596211791503952,0.06754309093036304,0.06754309093036304,0.06276207494394148,0.07531448993272971,0.06528007411181669,0.008191379019428124,0.06718728507428817,0.008250925278396104,0.10680952705629143,0.10309828282412437,0.04779345422436243,0.010921838692570685,0.05020965995515303,0.0492117619055612,0.029634914788570055,0.0014095445627164693,0.0047786493960807475
ADIN,118750.43015764432,258206.62032322912,0.1082338614379974,0.1082338614379974,0.11613191423254843,0.10716499432618565,0.10716499432618565,0.08261547572122974,0.09913857086547573,0.06494031686279844,0.0065076299183605135,0.05906962870972676,0.006018699604173339,0.09815002619302304,0.08083165012636884,0.04754470799131538,0.008676839891147536,0.06609238057698386,0.04409727538003394,0.02323481105162939,0.0008961142334645844,0.0036179104696653086
AGOURA HILLS,631394.9191885334,810804.9286919932,0.10471525191930364,0.10471525191930364,0.10996521748768917,0.07224019469915122,0.07224019469915122,0.06361140172149782,0.07633368206579749,0.06282915115158239,0.013267080556114585,0.08793994068173283,0.005992969441128815,0.11485943825416833,0.07374119840363336,0.04599906174088009,0.017689440741486373,0.050889121377198254,0.054459926405951764,0.02119652311463005,0.0011238967920790266,0.00337083028876739
AGUANGA,414700.3235939826,1670150.829459879,0.10539351214124115,0.10539351214124115,0.1105215258447324,0.11078947894000657,0.11078947894000657,0.08302512093118641,0.09963014511742352,0.06323610728474471,0.008690019858555553,0.06649981663689597,0.006032158847258384,0.09948411536307855,0.07287094083892076,0.04629700624517563,0.01158669314474059,0.06642009674494898,0.045337794945302656,0.02094650059189318,0.0012497731474899743,0.0032743459879533976
AHWAHNEE,300798.8597282354,330809.587217219,0.1052474395885753,0.1052474395885753,0.11114362403527533,0.11930921390659688,0.11930921390659688,0.0874405129621173,0.1049286155545407,0.06314846375314531,0.007432101148522441,0.061080128922618826,0.005469577208182752,0.0961148343193935,0.07369109401398088,0.046232839848728724,0.00990946819803007,0.06995241036969402,0.04334134037181214,0.02118227081285029,0.0007998202106832553,0.0033023626954536978
ALAMEDA,1363234.5150359517,1635683.19861022,0.09600195479228424,0.09600195479228424,0.10190233232898993,0.045659680915147494,0.045659680915147494,0.04830542353982081,0.05796650824778504,0.05760117287536992,0.013283565610699655,0.09566831663678899,0.00768393393129041,0.1265961415174809,0.09190935573228787,0.042171505724290737,0.017711420814266132,0.03864433883185703,0.0626229216181069,0.026418967049481656,0.001606557570599132,0.00415639287786862
ALAMO,919472.5782354476,1569433.2986644777,0.08156948889481208,0.08156948889481208,0.11947033705630539,0.09983943901690329,0.09983943901690329,0.07978730377252796,0.0957447645270334,0.04894169333688714,0.014434045733039191,0.09104345077745002,0.005028997434070481,0.11202941124335175,0.06075187531544457,0.0358316471294553,0.019245394310719033,0.06382984301802241,0.05376895984050589,0.01746279250572358,0.000987004831674132,0.0027847432438787845
ALBANY,502899.0694161816,604203.0423390361,0.08476294935688622,0.08476294935688622,0.08951591775656687,0.06312492020715366,0.06312492020715366,0.05394143954271846,0.06472972745126215,0.050857769614131465,0.014701226413883939,0.10069126296157871,0.0072214912464682035,0.1258070681147604,0.08621200443394106,0.037234462691367765,0.019601635218511992,0.04315315163417477,0.06362443098196524,0.024781184431264647,0.0014721933363369688,0.003943925098514156
