Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alameda,26892410.95408103,28900931.25103238,30807724.4157269,32673426.49598715,34346943.745631255,35968786.78026011,37660729.05556392,39363200.1174768,40832410.3762635
Alpine,22421.7406993161,22794.630431306192,23658.71253153022,24306.917423127295,24288.68339911138,23660.701082657906,22738.326979547346,21816.00710815304,20775.898057556577
Amador,726763.7123023754,696862.9846285623,740968.009384738,780322.925632796,803446.1665635544,824193.5155545148,833725.4491394153,831883.2875610876,820674.2637337843
Butte,3774275.868696279,3909421.722053705,4127198.3828062434,4348410.6209836425,4504295.747401604,4703897.220793915,4782323.064980484,4872202.576080874,4957445.561084568
Calaveras,986481.6136684724,992505.5285582878,1060474.604603612,1115546.4409590913,1158212.9255862173,1193940.6567638572,1215650.502143443,1222918.7660717655,1229559.8926690635
Colusa,343706.6738559769,360174.1605780422,391496.0062523413,419103.15761176235,445051.4192065267,468503.92145782255,488890.8451614442,504950.349157103,518466.5643045659
Contra Costa,20271640.355926897,21541181.23235421,22817646.555321105,24094041.982261863,25359967.821394958,26691011.401205808,28001667.8486768,29245742.651955422,30477599.32106862
Del Norte,406819.7991583757,403048.9179584709,412031.6126248716,421495.7470283552,428942.64625638555,432492.0048471375,432334.9948979413,430927.8976457942,431254.006590285
El Dorado,3793988.3831778406,3859882.1136123543,3981396.708519946,4104484.8200728693,4196650.349152776,4279681.498221811,4329482.099232135,4333735.757737099,4307018.457643241
Fresno,13680236.514853463,14510238.869211843,15762486.05970279,17045903.91439617,18243821.320869233,19420463.6328684,20497438.54430413,21586846.236507595,22738486.49910498
Glenn,457206.35217926186,473103.6392289831,498363.7345808007,522886.3301692459,545331.7061043829,565549.1312360563,583458.5832806944,599950.7675391427,616973.1552248712
Humboldt,2368684.0833404292,2391057.406845959,2429141.608183551,2463289.458908489,2461339.5436541336,2444556.453493888,2414692.8143644044,2381368.829712495,2359992.896860633
Imperial,2193686.348218373,2340560.0416628537,2633660.7398074,2894810.3822766123,3120398.138164199,3338024.7969281916,3531198.626411715,3707065.705730655,3869270.1919182506
Inyo,310304.3619849591,320754.55502611806,327672.3115801008,335980.5779285023,340500.9306144387,341024.21667098365,339244.8493678009,336293.2769099295,333493.70085230045
Kern,12663304.47568765,13435000.461245058,14971000.275732791,16563864.154549379,18179611.719185386,19837451.191583235,21518228.480848838,23218301.304571908,24869048.894947074
Kings,2065835.5728443777,2080309.2139328811,2291635.7157505797,2512217.368005346,2721167.867197137,2937509.454279694,3163159.7060605614,3365483.1264574477,3543116.412898762
Lake,1169446.8000129773,1197848.458788085,1290915.0457963182,1389499.0360078954,1475980.3266812246,1558290.840046395,1622875.2791175244,1671068.617342819,1704362.5761742578
Lassen,474063.5680664236,477438.1662916916,502677.155587489,525976.3763720549,541495.023811128,551939.3725014887,559410.5576521272,568318.2598566611,576677.6056864891
Los Angeles,153845176.4865447,159803700.13471588,165135895.96748924,170027536.99610233,174271309.24137184,177816955.38822344,180906056.2262828,183191686.38157773,184675299.62298608
Madera,2248271.4588520466,2346078.9904326824,2587393.9797603157,2839495.5290745893,3085482.818887645,3348653.007931721,3609619.333233527,3868550.5245680846,4139240.4410123415
Marin,5366018.395862601,5500355.032150524,5523114.053719832,5543905.886236033,5588091.210115714,5661974.7087884825,5744947.717303739,5812509.478568357,5859348.072293326
Mariposa,383334.0047136507,379286.0362191683,404874.91139836435,431230.5100791082,442352.03073863016,448065.77695786086,446602.4648000761,440654.37880491756,433808.87042226474
Mendocino,1574325.229460409,1586076.5291962225,1616433.506425003,1652050.6952580737,1679443.6594599187,1699067.2738187534,1711825.1149078556,1723537.202988205,1742515.5152643388
Merced,3639729.9747386277,3841141.905408889,4147676.3105569715,4527690.430438233,4917665.353930341,5336402.7059045425,5739937.568230772,6133637.163900481,6515019.315820836
Modoc,177600.0998828483,169531.2450373435,175320.4815945696,178927.81872465808,178652.70153204628,177830.2695421747,176966.98631062807,174128.0173480592,168180.29750672542
Mono,188475.98312178475,192016.22551351058,203797.10777245613,215218.60774126166,224737.2384121703,232671.6844556845,235551.21277741258,235648.243810926,235764.17842344975
Monterey,6360030.365429097,6587655.570653199,6870167.766022471,7147199.51144591,7389242.90076099,7597523.8769515995,7784244.799814177,7965744.683026952,8125942.702985847
Napa,2554807.410636851,2660394.4285519896,2762583.3536228747,2867369.774409321,2974968.809333846,3059695.7297917954,3129551.2211492243,3183820.119144226,3232118.702700015
Nevada,2126005.404890512,2119212.2330547054,2189070.4625552157,2269799.3644001526,2330574.9663244584,2377654.124956405,2414669.1503544035,2449977.452948877,2491902.021152052
Orange,53096536.673168495,55728717.54661744,57516546.64491734,58724500.38657976,59807262.42266978,60755153.6692629,61510111.159340754,61926535.88389637,62131999.17704234
Placer,6922677.044628932,7362188.283558882,7791125.66801933,8259498.409906163,8762700.636648756,9340087.486340832,9939556.71322278,10491297.41212307,11016529.533105057
Plumas,432243.7757880652,415404.5689325364,413057.4935539278,415214.65730568377,412436.0530923483,404725.25534501584,392698.58701418946,379800.3718769652,370675.8917312583
Riverside,36553750.71284594,38448614.26236355,40725746.85657957,43439647.52785732,46396826.95808178,49209758.52136532,51589207.90109484,53624968.34723296,55504256.09052695
Sacramento,23129480.64354004,24154158.429749895,25643348.51315914,27263287.48293448,28980636.85034207,30754211.615995556,32435894.213258557,33891174.88101576,34987938.62138763
San Benito,984017.8260375763,1049119.1544140328,1130782.3885310243,1222049.5469965483,1318082.3993982207,1410846.3305464692,1495409.3897877876,1567951.8472344405,1641483.5218635583
San Bernardino,32274712.210809436,33268379.545844823,34688007.063882045,36479684.38766918,38396110.71835372,40226132.6472011,41832909.36372815,43226858.8686872,44575708.62989822
San Diego,53032977.88633375,55507358.82264436,57972548.18608975,59988609.08206183,62000152.93753838,63872546.57735897,65571055.20658498,67239865.99335665,68832646.92876749
San Francisco,14136195.949203333,14910641.721726123,15748104.147439284,16540496.58120715,17229920.85288385,17794203.680543605,18392517.69552089,18988612.38375947,19456385.08789135
San Joaquin,10871089.243355976,11540873.52884677,12335253.90916223,13367705.456342211,14666978.742019419,16019808.702327957,17323651.157524142,18558935.235624798,19783071.543659978
San Luis Obispo,4928652.798350901,5040786.544751398,5260461.755933418,5488303.8766170265,5627403.614729777,5862709.844099878,5867974.8608342055,5920283.488037327,5958013.867653838
San Mateo,13964858.636639915,14693824.951330226,15226742.990051853,15748801.111806596,16230289.12725282,16772187.649259225,17362964.33733135,17966746.367890038,18472271.74054754
Santa Barbara,7210584.735513129,7469077.8253569575,7770548.863270969,8080826.5189909525,8333364.405653748,8706194.690656101,8823966.722255772,8986348.820526961,9131580.123515502
Santa Clara,33846941.22188019,36107510.2798268,37833619.97568173,39743366.00325702,41706477.18031179,43687884.33435182,45585677.09716627,47286368.31325303,48815416.91649354
Santa Cruz,4791428.177598829,5015410.661552468,5198905.115419258,5396510.631542203,5505956.435278031,5687412.646953839,5684892.246418555,5724809.523235793,5776840.187927018
Shasta,3087690.304280772,3137427.792597908,3287818.0680155475,3450251.314269906,3581278.5034663095,3695670.642530375,3783826.6739257663,3865527.2913772883,3943943.345443785
Sierra,60851.173278034556,59630.86339971376,57998.7966184743,56366.57644671891,54736.524203479494,52965.17241729046,51233.25974916677,49796.77468948862,48616.1631590772
Siskiyou,826267.0835658733,833726.7374804801,849749.1941717534,860876.4090600761,865426.548210586,864707.2398749703,854316.1081951786,838073.1042635714,824473.2189143524
Solano,7344612.240069287,7722909.188483837,8154169.343227712,8602391.548342852,9074158.52152004,9566959.801799161,9992404.885920117,10378103.979474157,10758821.250038575
Sonoma,9128465.703029413,9482094.547215316,9959509.693966156,10440586.304742722,10883173.076172102,11284169.657428011,11647523.319914617,11979131.051414846,12289069.695898127
Stanislaus,8119981.207136786,8513841.794565309,9109698.373120042,9747106.643956069,10369773.35576822,10939981.735558445,11503070.961966248,12069713.779822754,12657840.243872754
Sutter,1529816.9112780027,1579451.6410551749,1707404.8624920498,1836320.462646848,1972589.754101326,2122445.8444869425,2276536.870133923,2416233.7519028545,2564152.73743096
Tehama,1109990.7083249108,1137989.6710384244,1178482.00825347,1216086.2745195073,1250006.249456101,1276183.7613691136,1289259.4478130888,1296014.2836869757,1303996.4435496638
Trinity,258928.78936550402,256492.41228018742,264747.7828328899,270267.2042233986,271484.8573125495,269768.7140057049,265436.5723964163,258608.68283334133,251980.3405155464
Tulare,6511414.163319474,6882865.121462789,7375703.014467884,7979034.42182051,8635671.627319992,9226866.800194886,9764464.758760057,10277660.20464473,10782619.92170501
Tuolumne,1111231.0250967655,1087994.2632481297,1117889.9301266735,1146035.3921175227,1171690.420899388,1196051.9844934773,1201771.5155026962,1200601.9882351793,1200088.7720940749
Ventura,15179092.925112069,15602984.920810735,16042238.287633622,16492998.192664087,16909622.275044926,17290269.117717896,17566828.113186654,17766909.167606704,17930927.303612687
Yolo,3222581.148706687,3376435.529649013,3564512.258557789,3794545.340043847,3997349.6957555236,4329581.254215515,4485549.166410641,4676844.916405541,4835526.897520218
Yuba,1152242.4601560833,1197378.59981433,1308289.8804548273,1426835.5670411044,1551507.0425190507,1683691.9995520306,1809650.3289568715,1924569.7913763297,2014302.8249140098
