Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alameda,0,-563174.4312163964,-1097679.0362381078,-1620645.7053278573,-2089371.11156521,-2544030.6071440764,-3018343.485725969,-3495605.6681555286,-3907464.607016459
Alpine,0,-372.8897319900934,-1236.4524419643712,-1884.1597490138483,-1864.6398342543616,-1236.5562044884282,-314.0478965871407,608.4732521145415,1648.7808020795055
Amador,0,6560.08483263955,-3112.1563644527923,-11742.00058279233,-16803.639758473262,-21354.10349264962,-23443.9089740942,-23037.97553525248,-20577.317282520235
Butte,0,-39914.33987628436,-104197.50044783624,-169493.68358870316,-215436.13307500444,-274372.7856418248,-297522.2273184601,-324048.4108928349,-349205.1380309006
Calaveras,0,-1756.4092269238317,-21566.61589788366,-37615.88682643324,-50034.810059183976,-60449.20677644876,-66776.19763477473,-68891.72398987948,-70824.42707972974
Colusa,0,-4994.772276317468,-14491.95154432056,-22862.161383055907,-30723.593761005497,-37835.536761238414,-44017.45644605614,-48886.40203852329,-52983.97535173426
Contra Costa,0,-460028.7477011755,-922437.3689098246,-1384805.9249079674,-1843063.7903021686,-2325288.6646559723,-2800125.514181804,-3250835.093905635,-3697113.461341098
Del Norte,0,597.5075198903796,-823.7976018915069,-2321.3802794038784,-3496.0546376567218,-4057.9659648727975,-4032.540112962539,-3808.792616152379,-3859.644319973071
El Dorado,0,-22753.55306789931,-64672.75968442066,-107170.21030113008,-138931.8295407379,-167600.19171905797,-184794.2422308703,-186257.26921931934,-177026.26560175326
Fresno,0,-137259.46354505606,-344154.6045943983,-556333.0740669146,-754309.956738051,-948871.6959164664,-1126952.2681899145,-1307075.727453649,-1497489.7015980221
Glenn,0,-6233.509710897983,-16132.916799395578,-25742.91093702981,-34529.19129143865,-42454.65363815171,-49474.772907805745,-55938.32881041558,-62609.668370055384
Humboldt,0,-4469.521463308949,-12063.250585922506,-18870.862606195733,-18445.38685492752,-15090.206644938793,-9121.389677163213,-2459.6550573240966,1815.3632054063492
Imperial,0,-30801.55587917287,-92267.98557510972,-147034.46306362422,-194341.643553535,-239980.79665218107,-280491.84126111865,-317373.21776826493,-351389.3332633935
Inyo,0,-2589.5447898604325,-4301.55153242941,-6358.113091112697,-7472.532574482961,-7601.740630525921,-7160.279772379319,-6428.100788135896,-5733.607486905181
Kern,0,-187172.99026011676,-559468.5196517538,-945718.8335814103,-1337425.3003237098,-1739481.6632388867,-2147099.630739052,-2559377.0043275952,-2959691.460188765
Kings,0,-4968.607429700671,-77459.76760085393,-153163.49073187588,-224855.91495688586,-299114.8657147307,-376568.7602571575,-446011.8031044174,-506980.02264073305
Lake,0,-7715.955876371125,-32989.24431831483,-59760.502216112334,-83224.9218811784,-105581.40942040668,-123121.78384119668,-136207.81889892486,-145246.51006838772
Lassen,0,-631.4389114794903,-5351.444774787931,-9708.373263995862,-12605.099270407576,-14558.613402797026,-15955.67199444503,-17621.09212347213,-19183.903429383645
Los Angeles,0,-1414899.5618249178,-2681002.3266703784,-3842541.982318282,-4850157.694693297,-5692092.084720612,-6425615.814742744,-6968339.587748766,-7320618.360019118
Madera,0,-29642.503072068095,-102725.2983699548,-179110.65515141655,-253624.40248379298,-333373.91802183585,-412455.3400603314,-490916.0511169769,-572939.9275045404
Marin,0,-6792.972893100232,-7939.221941024065,-8985.897839332,-11205.452813947573,-14939.445924607106,-19133.09648176469,-22547.529251798056,-24914.12829619553
