Place,2010,2015,2020,2025,2030,2035,2040,2045,2050
Alameda,0,-312941519.0476776,-609959646.7774101,-900573932.2101811,-1161085386.5272007,-1413751063.560123,-1677340290.043267,-1942570562.3565073,-2171457196.7940903
Alpine,0,-288.37627514436826,-956.2171039193709,-1457.1249721876848,-1442.0290420608835,-956.2972518877286,-242.8705927000774,470.5659849439144,1275.0932782586788
Amador,0,122395.16975043388,-58066.737119102036,-219088.1214190318,-313550.71752382227,-398462.9650237876,-437461.19672830927,-429890.80791891506,-383978.4722943349
Butte,0,-1227757.9115553503,-3205174.2190278913,-5213843.180523349,-6627490.410746051,-8440606.481262442,-9152816.65048327,-9968947.982677473,-10742963.253666086
Calaveras,0,-10891.78963239427,-133741.69127045386,-233274.30890514725,-310309.9977242849,-374900.75724875706,-414142.9851029469,-427267.6819504231,-439258.69723750325
Colusa,0,-39946.64480268251,-115905.25922049169,-182854.10721515416,-245747.0414384146,-302634.51456843555,-352084.1795455409,-391033.6741089321,-423813.78330257355
Contra Costa,0,-61980616.140199035,-124283435.95625205,-186582453.33925098,-248335861.252287,-313312682.03795904,-377294516.4847748,-438025882.71161675,-498160689.9811746
Del Norte,0,26813.58879503043,-36969.55889983405,-104179.36373240536,-156907.52211096825,-182127.83611974504,-180987.99523108674,-170947.64322899684,-173231.84415174375
El Dorado,0,-386091.6033382097,-1097434.1240785317,-1818581.7202578343,-2357674.0880154776,-2844177.7836163295,-3135963.8462311924,-3160806.284166746,-3004170.434311872
Fresno,0,186133608.0703706,466734195.04256374,754499554.6667179,1023035586.0211701,1286910761.7279918,1528433717.9594405,1772734397.0544853,2030992930.5593586
Glenn,0,-65822.87255562888,-170359.93815289944,-271845.52373027394,-364650.36904670764,-448350.41792721057,-522490.9474282807,-590756.4524064888,-661217.5311499799
Humboldt,0,-85353.98480761168,-230377.5988264354,-360396.21671447647,-352296.82400876377,-288216.4114911824,-174215.9525896099,-46979.26319386461,34673.72808069992
Imperial,0,-3702106.8389843786,-11089916.468215682,-17672444.002938207,-23358482.812613744,-28843988.05739605,-33713132.98999426,-38146029.70017161,-42234546.088661775
Inyo,0,-54469.12680019354,-90482.2169484639,-133744.82938731645,-157196.9409600323,-159915.84207706145,-150629.94090468905,-135228.52129287567,-120619.58451162805
Kern,0,89992484.3914837,269015977.74933606,454751281.49331176,643133503.8149827,836472181.0575507,1032485633.0945989,1230745440.7736468,1423253769.2889686
Kings,0,-304242.7657311703,-4743387.546588822,-9379380.107280651,-13770085.532957103,-18317675.075927798,-23060926.94969058,-27313684.669060484,-31047461.91506123
Lake,0,-68056.26636902985,-290980.78963741305,-527131.7630335384,-734162.0454376205,-931383.7011105011,-1086124.4307743115,-1201578.029531265,-1281329.5157968788
Lassen,0,-18103.15193076167,-153428.18556436623,-278350.07347077574,-361425.6623096813,-417440.8272415353,-457501.91264274425,-505260.08816534455,-550076.9522758058
Los Angeles,0,-1567829255.7349603,-2970783890.461543,-4257872689.669143,-5374411157.394439,-6307350847.890532,-7120162025.16346,-7721551460.133075,-8111910943.66998
Madera,0,-755520.6051535942,-2618437.8905001176,-4565562.93199385,-6465180.947414166,-8498089.616540467,-10513970.765878031,-12514079.056113353,-14605027.90302362
